#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text= 
0-0	0-1	 	*[507]|*[523]|*[534]	DATASET[507]|ONTOLOGY[507]|WORKSHOP[507]|PROJECT[507]|LICENSE[507]|PUBLICATION[507]|EVALMETRIC[507]|PROGLANG[507]|SOFTWARE[523]|CONFERENCE[534]
10-4	1472-1476	Cora	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-5	1476-1477	\*	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-6	1477-1478	\*	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-7	1479-1485	folder	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-8	1486-1494	contains	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-9	1495-1499	four	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-10	1500-1505	files	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-11	1505-1506	:	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-12	1510-1511	-	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-13	1512-1513	"	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-14	1513-1522	edge.cora	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-14	1518-1522	cora	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-15	1522-1523	"	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-16	1523-1524	:	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-17	1525-1529	each	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-18	1530-1534	line	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-19	1535-1545	represents	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-20	1546-1547	a	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-21	1548-1552	edge	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-22	1553-1560	between	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-23	1561-1564	two	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-24	1565-1570	nodes	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-25	1571-1575	with	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-26	1576-1579	the	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-27	1580-1588	follwing	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-28	1589-1595	format	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-29	1595-1596	:	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-30	1602-1603	`	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-31	1603-1604	`	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-32	1604-1605	`	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-33	1610-1614	1397	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-34	1615-1619	1470	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-35	1624-1628	1397	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-36	1629-1632	362	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-37	1637-1638	.	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-38	1638-1639	.	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-39	1639-1640	.	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-40	1641-1642	.	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-41	1642-1643	.	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-42	1643-1644	.	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-43	1649-1650	`	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-44	1650-1651	`	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-45	1651-1652	`	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-46	1656-1657	-	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-47	1658-1659	"	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-48	1659-1671	feature.cora	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-48	1667-1671	cora	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-49	1671-1672	"	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-50	1672-1673	:	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-51	1674-1678	each	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-52	1679-1683	line	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-53	1684-1694	represents	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-54	1695-1698	the	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-55	1699-1707	features	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-56	1708-1709	(	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-57	1709-1712	e.g	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-58	1712-1713	.	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-59	1713-1714	,	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-60	1715-1722	one-hot	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-61	1723-1730	feature	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-62	1730-1731	)	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-63	1732-1734	of	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-64	1735-1740	nodes	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-65	1741-1745	with	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-66	1746-1749	the	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-67	1750-1759	following	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-68	1760-1766	format	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-69	1766-1767	:	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-70	1773-1774	`	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-71	1774-1775	`	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-72	1775-1776	`	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-73	1781-1782	0	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-74	1783-1784	0	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-75	1785-1786	0	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-76	1787-1788	0	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-77	1789-1790	1	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-78	1791-1792	0	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-79	1793-1794	0	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-80	1795-1796	0	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-81	1796-1797	,	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-82	1797-1798	.	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-83	1798-1799	.	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-84	1799-1800	.	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-85	1800-1801	,	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-86	1801-1802	0	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-87	1807-1808	0	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-88	1809-1810	1	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-89	1811-1812	0	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-90	1813-1814	1	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-91	1815-1816	0	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-92	1817-1818	0	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-93	1819-1820	0	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-94	1821-1822	0	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-95	1822-1823	,	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-96	1823-1824	.	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-97	1824-1825	.	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-98	1825-1826	.	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-99	1826-1827	,	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-100	1827-1828	0	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-101	1833-1834	.	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-102	1834-1835	.	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-103	1835-1836	.	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-104	1841-1842	`	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-105	1842-1843	`	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-106	1843-1844	`	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
10-107	1848-1849	-	*[517]|*[533]	CONFERENCE[517]|DATASET[517]|ONTOLOGY[517]|PUBLICATION[517]|WORKSHOP[517]|PROJECT[517]|LICENSE[517]|EVALMETRIC[517]|PROGLANG[517]|SOFTWARE[533]
